"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.119.140","205.185.208.142",146,77761,71,6290,75,71471,197.259629689,15.253546744000005,3298.904893695849,37484.265764282354
"95.101.239.55","192.168.119.140",79,44871,48,41143,31,3728,197.404033405,15.12551886,21760.840275729886,1971.7670696818661
"95.101.239.56","192.168.119.140",24,6241,11,4995,13,1246,197.707644669,1.3639998730000116,29296.190411008683,7307.918568992356
"66.254.114.181","192.168.119.140",22,6390,9,5158,13,1232,199.69013257,6.989588330000004,5903.638104534832,1410.0973526147561
"64.210.135.118","192.168.119.140",16,4472,6,3373,10,1099,199.974039777,5.739361325999994,4701.568426744497,1531.8777648954053
"64.210.135.119","192.168.119.140",16,4473,6,3374,10,1099,199.975796466,10.463080333000022,2579.737433045277,840.2879190624658
"192.168.119.140","203.119.169.80",29,12662,16,1335,13,11327,200.080294358,3.445336284000007,3099.84254645837,26301.061066467388
"192.168.119.140","203.119.144.26",54,17268,30,3392,24,13876,200.138829478,12.515032012000006,2168.272520116666,8869.973316373484
"52.222.139.92","192.168.119.140",49,11879,22,8713,27,3166,200.857454399,11.654914783999999,5980.652908392814,2173.1604622944624
"66.254.114.38","192.168.119.140",51,13502,20,9000,31,4502,203.173344243,9.351194313000008,7699.551264794677,3851.4866437895153
"104.18.59.150","192.168.119.140",215,119147,114,108122,101,11025,203.174925669,58.796632337999995,14711.31875423705,1500.0859146655027
"142.250.179.131","192.168.119.140",285,198231,153,186774,132,11457,203.926125361,59.82281329599999,24976.959752909315,1532.1245349410626
"64.210.135.117","192.168.119.140",241,186455,138,178426,103,8029,203.956973304,8.55704121299999,166810.92967408634,7506.332901893442
"192.168.119.140","216.18.168.30",22,6374,13,1226,9,5148,205.291453098,5.038480553999989,1946.618607511256,8173.89281522671
"13.107.42.14","192.168.119.140",95,25951,45,19078,50,6873,206.153771372,15.709189120000019,9715.587407735009,3500.1170066758946
"151.101.2.114","192.168.119.140",430,256181,227,236014,203,20167,210.740310712,52.389120838,36040.1543259049,3079.570670767514
"8.238.16.122","192.168.119.140",3656,3363176,2374,3268111,1282,95065,210.941494608,50.340737356000005,519358.4634072478,15107.446571983024
"172.217.168.195","192.168.119.140",105,27156,50,20094,55,7062,213.026271762,54.999203962999985,2922.805939303119,1027.2148672916605
"104.18.51.106","192.168.119.140",153,83995,80,75660,73,8335,213.027981419,27.05191517899999,22374.755945925415,2464.890177230879
"8.238.17.122","192.168.119.140",52,17308,22,13781,30,3527,215.16168629,47.54975556299999,2318.5818453667835,593.3994752636706
"151.139.128.11","192.168.119.140",38,8485,18,6220,20,2265,215.2297222,6.2235589329999925,7995.425211794979,2911.517380179361
"13.227.219.5","192.168.119.140",32,9651,15,7453,17,2198,215.238002564,6.630205493000005,8992.783114030091,2652.1048282085253
"104.18.41.15","192.168.119.140",26,6233,12,4399,14,1834,215.239661804,6.623207124000004,5313.4379374121445,2215.2410041404573
"52.94.225.56","192.168.119.140",31,10941,15,7153,16,3788,215.538254159,5.787740377000006,9887.105549413269,5235.894844285958
"142.250.27.156","192.168.119.140",67,18487,30,13543,37,4944,216.775289162,45.834438946999995,2363.8120698997113,862.9319112149577
"47.88.198.68","192.168.119.140",75,25118,32,20168,43,4950,218.034145574,22.19327696899998,7269.949373648991,1784.3241471421316
"52.222.139.67","192.168.119.140",32,9018,15,6972,17,2046,218.104625939,21.97578717600001,2538.066079421881,744.8197358716535
"13.227.219.77","192.168.119.140",38,13190,18,10886,20,2304,218.106555391,3.7504985159999933,23220.37980510433,4914.54667196035
"184.72.155.79","192.168.119.140",36,12213,15,7071,21,5142,218.643261149,21.517736611999993,2628.9010326696352,1911.7252312243338
"104.18.63.132","192.168.119.140",20,4838,8,3632,12,1206,218.999679067,3.5820915350000178,8111.462176803323,2693.3985091477994
"104.18.63.124","192.168.119.140",221,178229,135,171417,86,6812,219.001563466,42.96637954900001,31916.48945976683,1268.3405158177525
